"ID","Pokemon","Family","Shadow","Little_Rank","Great_Rank","Ultra_Rank","Master_Rank","Little_IVs","Great_IVs","Ultra_IVs","Master_IVs","Little_Level","Great_Level","Ultra_Level","Master_Level","Little_CP","Great_CP","Ultra_CP","Master_CP","Little_MoveSet","Great_MoveSet","Ultra_MoveSet","Master_MoveSet","Evo_Fam","Evo_Next","Previous_evols"
"101&hisui","Electrode (Hisuian)","Voltorb",FALSE,229,77,220,533,"0/13/13","1/14/14","15/15/14","15/15/15",9,26.5,50,50,499,1495,2430,2430,"Thunder Shock, Wild Charge, Swift","Thunder Shock, Wild Charge, Swift","Thunder Shock, Wild Charge, Swift","Thunder Shock, Wild Charge, Swift","100&hisui;101&hisui","101&hisui","100&hisui;101&hisui"
"102","Exeggcute","Exeggcute",FALSE,457,903,,,"0/15/14","15/15/14",,,17,50,,,500,1328,,,"Confusion, Ancient Power, Seed Bomb","Confusion, Seed Bomb, Ancient Power",,,"102;103","102;103","102"
"102","Exeggcute (Shadow)","Exeggcute",TRUE,403,893,,,"0/15/14","15/15/14",,,17,50,,,500,1328,,,"Confusion, Ancient Power, Seed Bomb","Bullet Seed, Seed Bomb, Ancient Power",,,"102;103","102;103","102"
"103","Exeggutor","Exeggcute",FALSE,563,886,676,450,"0/14/8","1/15/14","1/15/15","15/15/15",6.5,18.5,31.5,50,499,1497,2498,3408,"Confusion, Psychic, Seed Bomb","Bullet Seed, Seed Bomb, Psychic","Bullet Seed, Seed Bomb, Psychic","Bullet Seed, Seed Bomb, Psychic","102;103","103","102;103"
"103","Exeggutor (Shadow)","Exeggcute",TRUE,,896,680,420,,"1/15/14","1/15/15","15/15/15",,18.5,31.5,50,,1497,2498,3408,,"Bullet Seed, Seed Bomb, Psychic","Bullet Seed, Seed Bomb, Psychic","Bullet Seed, Seed Bomb, Psychic","102;103","103","102;103"
"103&alola","Exeggutor (Alolan)","Exeggcute",FALSE,334,683,525,308,"0/12/11","1/15/14","1/15/15","15/15/15",6.5,18.5,31.5,50,500,1493,2489,3407,"Dragon Tail, Seed Bomb, Dragon Pulse","Dragon Tail, Seed Bomb, Draco Meteor","Dragon Tail, Seed Bomb, Draco Meteor","Dragon Tail, Seed Bomb, Draco Meteor[etm]","103&alola","103&alola","103&alola"
"103&alola","Exeggutor (Alolan) (Shadow)","Exeggcute",TRUE,,602,527,324,,"1/15/14","1/15/15","15/15/15",,18.5,31.5,50,,1493,2489,3407,,"Dragon Tail, Seed Bomb, Draco Meteor","Dragon Tail, Seed Bomb, Draco Meteor","Dragon Tail, Seed Bomb, Draco Meteor[etm]","103&alola","103&alola","103&alola"
"104","Cubone","Cubone",FALSE,7,623,,,"0/15/14","15/15/15",,,20,50,,,500,1152,,,"Mud Slap, Bone Club, Dig","Mud Slap, Bone Club, Return",,,"104;105","104;105","104"
"104","Cubone (Shadow)","Cubone",TRUE,16,514,,,"0/15/14","15/15/15",,,20,50,,,500,1152,,,"Mud Slap, Bone Club, Dig","Mud Slap, Bone Club, Dig",,,"104;105","104;105","104"
"105","Marowak","Cubone",FALSE,47,36,391,,"1/15/14","0/14/14","15/15/14",,10.5,33.5,50,,500,1500,2075,,"Mud Slap, Bone Club, Rock Slide","Mud Slap, Bone Club, Rock Slide","Mud Slap, Bone Club, Rock Slide",,"104;105","105","104;105"
"105","Marowak (Shadow)","Cubone",TRUE,43,15,325,,"1/15/14","0/14/14","15/15/14",,10.5,33.5,50,,500,1500,2075,,"Mud Slap, Bone Club, Rock Slide","Mud Slap, Bone Club, Rock Slide","Mud Slap, Bone Club, Rock Slide",,"104;105","105","104;105"
"105&alola","Marowak (Alolan)","Cubone",FALSE,,39,422,,,"0/14/14","15/15/14",,,33.5,50,,,1500,2075,,,"Fire Spin, Bone Club, Shadow Bone","Fire Spin, Bone Club, Shadow Bone",,"105&alola","105&alola","105&alola"
"105&alola","Marowak (Alolan) (Shadow)","Cubone",TRUE,,40,438,,,"0/14/14","15/15/14",,,33.5,50,,,1500,2075,,,"Fire Spin, Shadow Bone, Bone Club","Fire Spin, Bone Club, Shadow Bone",,"105&alola","105&alola","105&alola"
"106","Hitmonlee","Hitmonlee",FALSE,,531,409,396,,"2/15/15","0/14/15","15/15/15",,21.5,43,50,,1497,2499,2912,,"Double Kick, Close Combat, Blaze Kick","Double Kick, Close Combat, Blaze Kick","Double Kick, Close Combat, Blaze Kick","106;236","106;236","236;106"
"106","Hitmonlee (Shadow)","Hitmonlee",TRUE,,567,375,351,,"2/15/15","0/14/15","15/15/15",,21.5,43,50,,1497,2499,2912,,"Double Kick, Close Combat, Blaze Kick","Double Kick, Close Combat, Blaze Kick","Double Kick, Close Combat, Blaze Kick","106;236","106;236","236;106"
"107","Hitmonchan","Hitmonchan",FALSE,,547,343,495,,"0/11/15","4/15/15","15/15/15",,24.5,50,50,,1490,2494,2636,,"Counter, Ice Punch, Thunder Punch","Counter, Close Combat, Ice Punch","Counter, Close Combat, Ice Punch","107;236","107;236","236;107"
"107","Hitmonchan (Shadow)","Hitmonchan",TRUE,,521,403,498,,"0/11/15","4/15/15","15/15/15",,24.5,50,50,,1490,2494,2636,,"Counter, Ice Punch, Thunder Punch","Counter, Close Combat, Ice Punch","Counter, Close Combat, Ice Punch","107;236","107;236","236;107"
"108","Lickitung","Lickitung",FALSE,158,81,,,"1/15/14","8/14/15",,,14,50,,,500,1498,,,"Lick, Body Slam, Power Whip","Lick, Body Slam, Power Whip",,,"108;463","108;463","108"
"109","Koffing","Koffing",FALSE,545,988,,,"0/15/11","15/15/15",,,16.5,50,,,497,1373,,,"Infestation, Sludge Bomb, Sludge","Infestation, Dark Pulse, Sludge Bomb",,,"109;110","109;110","109"
"109","Koffing (Shadow)","Koffing",TRUE,574,998,,,"0/15/11","15/15/15",,,16.5,50,,,493,1373,,,"Infestation, Sludge Bomb, Sludge","Infestation, Dark Pulse, Sludge Bomb",,,"109;110","109;110","109"
"11","Metapod","Caterpie",FALSE,290,,,,"14/15/15",,,,50,,,,500,,,,"Bug Bite, Return, Struggle",,,,"10;11;12","11;12","10;11"
"11","Metapod (Shadow)","Caterpie",TRUE,375,,,,"14/15/15",,,,50,,,,500,,,,"Bug Bite, Struggle, Frustration",,,,"10;11;12","11;12","10;11"
"110","Weezing","Koffing",FALSE,702,861,549,595,"0/15/10","0/14/14","8/15/15","15/15/15",8.5,25,50,50,498,1491,2497,2592,"Infestation, Sludge Bomb, Dark Pulse","Infestation, Sludge Bomb, Shadow Ball","Infestation, Sludge Bomb, Shadow Ball","Infestation, Sludge Bomb, Shadow Ball","109;110","110","109;110"
"110","Weezing (Shadow)","Koffing",TRUE,720,934,602,617,"0/15/10","0/14/14","8/15/15","15/15/15",8.5,25,50,50,500,1495,2493,2592,"Infestation, Sludge Bomb, Dark Pulse","Infestation, Sludge Bomb, Shadow Ball","Infestation, Sludge Bomb, Shadow Ball","Infestation, Sludge Bomb, Shadow Ball","109;110","110","109;110"
"110&galar","Weezing (Galarian)","Koffing",FALSE,77,70,17,326,"0/15/10","0/14/14","8/15/15","15/15/15",8.5,25,50,50,500,1495,2493,2592,"Fairy Wind, Brutal Swing, Sludge","Fairy Wind, Play Rough, Brutal Swing","Fairy Wind, Brutal Swing, Play Rough","Fairy Wind, Brutal Swing, Sludge","110&galar","110&galar","110&galar"
"110&galar","Weezing (Galarian) (Shadow)","Koffing",TRUE,41,61,13,315,"0/15/10","0/14/14","8/15/15","15/15/15",8.5,25,50,50,500,1495,2493,2592,"Fairy Wind, Brutal Swing, Sludge","Fairy Wind, Brutal Swing, Play Rough","Fairy Wind, Brutal Swing, Play Rough","Fairy Wind, Brutal Swing, Sludge","110&galar","110&galar","110&galar"
"111","Rhyhorn","Rhyhorn",FALSE,171,528,,,"0/13/9","0/13/15",,,12,41,,,498,1499,,,"Mud Slap, Stomp, Horn Attack","Mud Slap, Bulldoze, Stomp",,,"111;112;464","111;112;464","111"
"111","Rhyhorn (Shadow)","Rhyhorn",TRUE,100,469,,,"0/13/9","0/13/15",,,12,41,,,498,1499,,,"Mud Slap, Stomp, Horn Attack","Mud Slap, Bulldoze, Stomp",,,"111;112;464","111;112;464","111"
"112","Rhydon","Rhyhorn",FALSE,196,428,224,126,"4/15/14","2/15/14","0/14/14","15/15/15",6,17.5,29.5,50,498,1498,2494,3594,"Mud Slap, Stone Edge, Breaking Swipe","Mud Slap, Breaking Swipe, Stone Edge","Mud Slap, Breaking Swipe, Stone Edge","Mud Slap, Breaking Swipe, Stone Edge","111;112;464","112;464","111;112"
"112","Rhydon (Shadow)","Rhyhorn",TRUE,,350,221,119,,"2/15/14","0/14/14","15/15/15",,17.5,29.5,50,,1498,2494,3594,,"Mud Slap, Breaking Swipe, Stone Edge","Mud Slap, Breaking Swipe, Stone Edge","Mud Slap, Breaking Swipe, Stone Edge","111;112;464","112;464","111;112"
"113","Chansey","Chansey",FALSE,199,396,744,,"0/14/15","15/15/15","15/15/15",,17.5,50,50,,498,1418,1418,,"Zen Headbutt, Hyper Beam, Psychic","Zen Headbutt, Hyper Beam, Psychic","Zen Headbutt, Hyper Beam, Psychic",,"113;242;440","113;242;440","440;113"
"114","Tangela","Tangela",FALSE,683,639,520,544,"2/15/13","0/13/15","12/15/15","15/15/15",8.5,25.5,50,50,497,1491,2500,2530,"Vine Whip, Grass Knot, Sludge Bomb","Vine Whip, Grass Knot, Sludge Bomb","Vine Whip, Grass Knot, Sludge Bomb","Vine Whip, Grass Knot, Sludge Bomb","114;465","114;465","114"
"114","Tangela (Shadow)","Tangela",TRUE,693,726,546,568,"2/15/13","0/13/15","12/15/15","15/15/15",8.5,25.5,50,50,497,1491,2500,2530,"Vine Whip, Grass Knot, Sludge Bomb","Vine Whip, Grass Knot, Sludge Bomb","Vine Whip, Grass Knot, Sludge Bomb","Vine Whip, Grass Knot, Sludge Bomb","114;465","114;465","114"
"115","Kangaskhan","Kangaskhan",FALSE,308,312,198,346,"0/15/13","0/14/15","0/15/13","15/15/15",7.5,22,44,50,500,1500,2496,2924,"Mud Slap, Stomp, Crunch","Mud Slap, Stomp, Crunch","Mud Slap, Power-Up Punch, Outrage","Mud Slap, Crunch, Stomp[etm]","115","115","115"
"117","Seadra","Horsea",FALSE,,964,732,,,"1/15/14","15/15/15",,,27,50,,,1499,2366,,,"Dragon Breath, Hydro Pump, Blizzard","Dragon Breath, Hydro Pump, Blizzard",,"116;117;230","117;230","116;117"
"117","Seadra (Shadow)","Horsea",TRUE,,932,735,,,"1/15/14","15/15/15",,,27,50,,,1499,2366,,,"Dragon Breath, Hydro Pump, Blizzard","Dragon Breath, Hydro Pump, Blizzard",,"116;117;230","117;230","116;117"
"118","Goldeen","Goldeen",FALSE,,921,,,,"15/15/15",,,,50,,,,1302,,,,"Mud Shot, Aqua Tail, Horn Attack",,,"118;119","118;119","118"
"119","Seaking","Goldeen",FALSE,,274,268,490,,"0/14/14","15/15/15","15/15/15",,26.5,50,50,,1500,2444,2444,,"Poison Jab, Drill Run, Icy Wind","Poison Jab, Drill Run, Icy Wind","Poison Jab[etm], Drill Run[etm], Icy Wind[etm]","118;119","119","118;119"
"12","Butterfree","Caterpie",FALSE,628,991,,,"0/14/14","0/13/15",,,10.5,33,,,498,1494,,,"Confusion, Bug Buzz, Signal Beam","Confusion, Bug Buzz, Signal Beam",,,"10;11;12","12","10;11;12"
"12","Butterfree (Shadow)","Caterpie",TRUE,572,985,,,"0/14/14","0/13/15",,,10.5,33,,,498,1494,,,"Confusion, Bug Buzz, Signal Beam","Confusion, Bug Buzz, Signal Beam",,,"10;11;12","12","10;11;12"
"121","Starmie","Staryu",FALSE,,145,169,250,,"0/15/11","0/15/14","15/15/15",,22,43,50,,1488,2493,2922,,"Psywave, Surf, Power Gem","Psywave, Surf, Ice Beam","Psywave, Surf, Power Gem","120;121","121","120;121"
"122","Mr. Mime","Mr-mime",FALSE,,663,301,528,,"0/13/15","13/15/15","15/15/15",,25.5,50,50,,1500,2494,2518,,"Psywave, Shadow Ball, Psychic","Psywave, Shadow Ball, Psychic","Psywave, Shadow Ball, Psychic","122;439;866","122;439;866","439;122"
"122&galar","Mr. Mime (Galarian)","Mr. Mime",FALSE,,898,713,,,"1/15/13","15/15/15",,,27.5,50,,,1497,2338,,,"Confusion, Ice Punch, Triple Axel","Confusion, Ice Punch, Triple Axel",,"122&galar","122&galar","122&galar"
"123","Scyther","Scyther",FALSE,352,517,508,457,"2/15/15","0/14/11","0/13/15","15/15/15",7,21,39.5,50,500,1496,2491,3060,"Fury Cutter, Aerial Ace, X-Scissor","Fury Cutter, Aerial Ace, X-Scissor","Fury Cutter, Night Slash, X-Scissor","Fury Cutter, Night Slash, X-Scissor","123;212","123;212","123"
"123","Scyther (Shadow)","Scyther",TRUE,,425,450,394,,"0/14/11","0/13/15","15/15/15",,21,39.5,50,,1496,2491,3060,,"Fury Cutter, Aerial Ace, X-Scissor","Fury Cutter, Night Slash, Aerial Ace","Fury Cutter, Night Slash, Aerial Ace","123;212","123;212","123"
"124","Jynx","Jynx",FALSE,,960,681,603,,"0/14/15","1/15/15","15/15/15",,22,43,50,,1496,2495,2888,,"Confusion, Avalanche, Ice Punch","Confusion, Avalanche, Ice Punch","Confusion, Avalanche, Ice Punch[etm]","124;238","124;238","238;124"
"125","Electabuzz","Electabuzz",FALSE,427,441,354,550,"5/15/13","0/14/11","5/15/15","15/15/15",8,24.5,49.5,50,500,1490,2498,2639,"Thunder Shock, Thunder Punch, Thunderbolt","Thunder Shock, Thunder Punch, Return","Thunder Shock, Thunder Punch, Return","Thunder Shock, Thunder Punch, Return[legacy]","125;239;466","125;239;466","239;125"
"125","Electabuzz (Shadow)","Electabuzz",TRUE,486,309,287,501,"5/15/13","0/14/11","5/15/15","15/15/15",8,24.5,49.5,50,500,1500,2499,2639,"Thunder Shock, Thunder Punch, Thunderbolt","Thunder Shock, Thunder Punch, Thunderbolt","Thunder Shock, Thunder Punch, Thunderbolt","Thunder Shock, Thunder Punch, Thunderbolt","125;239;466","125;239;466","239;125"
"126","Magmar","Magmar",FALSE,,299,203,436,,"0/15/15","0/14/15","15/15/15",,23.5,49.5,50,,1499,2489,2706,,"Karate Chop, Fire Punch, Scorching Sands","Karate Chop, Fire Punch, Scorching Sands","Karate Chop, Fire Punch, Scorching Sands","126;240;467","126;240;467","240;126"
"126","Magmar (Shadow)","Magmar",TRUE,,178,158,409,,"0/15/15","0/14/15","15/15/15",,23.5,49.5,50,,1499,2489,2706,,"Karate Chop, Fire Punch, Scorching Sands","Karate Chop, Fire Punch, Scorching Sands","Karate Chop, Fire Punch, Scorching Sands","126;240;467","126;240;467","240;126"
"127","Pinsir","Pinsir",FALSE,476,559,429,325,"1/15/13","0/13/14","0/14/15","15/15/15",6.5,19,33,50,499,1500,2500,3345,"Fury Cutter, X-Scissor, Close Combat","Fury Cutter, Close Combat, X-Scissor","Fury Cutter, Close Combat, X-Scissor","Fury Cutter, Close Combat, X-Scissor","127","127","127"
"127","Pinsir (Shadow)","Pinsir",TRUE,,515,483,259,,"0/13/14","0/14/15","15/15/15",,19,33,50,,1500,2500,3345,,"Fury Cutter, Close Combat, X-Scissor","Fury Cutter, Close Combat, X-Scissor","Fury Cutter, Close Combat, X-Scissor","127","127","127"
"128","Tauros","Tauros",FALSE,449,641,534,462,"0/6/15","0/15/15","0/15/14","15/15/15",7.5,21.5,42,50,498,1495,2494,2962,"Tackle, Horn Attack, Trailblaze","Tackle, Trailblaze, Horn Attack","Tackle, Trailblaze, Horn Attack","Tackle, Trailblaze, Horn Attack","128","128","128"
"13","Weedle","Weedle",FALSE,678,,,,"13/15/15",,,,49.5,,,,498,,,,"Poison Sting, Return, Struggle",,,,"13;14;15","13;14;15","13"
"13","Weedle (Shadow)","Weedle",TRUE,439,,,,"13/15/15",,,,49.5,,,,498,,,,"Bug Bite, Struggle, Frustration",,,,"13;14;15","13;14;15","13"
"130","Gyarados","Magikarp",FALSE,230,211,180,43,"12/15/13","0/14/15","0/15/14","15/15/15",5.5,16.5,27.5,50,500,1498,2485,3834,"Dragon Breath, Aqua Tail, Crunch","Dragon Breath, Aqua Tail, Crunch","Dragon Breath, Aqua Tail, Crunch","Dragon Breath, Aqua Tail[etm], Crunch","129;130","130","129;130"
"130","Gyarados (Shadow)","Magikarp",TRUE,,409,181,37,,"0/14/15","0/15/14","15/15/15",,16.5,27.5,50,,1498,2485,3834,,"Waterfall, Aqua Tail, Crunch","Dragon Breath, Aqua Tail, Crunch","Dragon Breath, Aqua Tail[etm], Crunch","129;130","130","129;130"
"131","Lapras","Lapras",FALSE,,242,121,248,,"0/10/14","0/15/15","15/15/15",,22,42.5,50,,1497,2500,2985,,"Ice Shard, Surf, Skull Bash","Ice Shard, Surf, Ice Beam","Ice Shard[etm], Surf, Ice Beam[etm]","131","131","131"
"131","Lapras (Shadow)","Lapras",TRUE,,345,171,253,,"0/10/14","0/15/15","15/15/15",,22,42.5,50,,1497,2500,2985,,"Ice Shard, Surf, Skull Bash","Ice Shard, Surf, Ice Beam","Ice Shard[etm], Surf, Ice Beam[etm]","131","131","131"
"133","Eevee","Eevee",FALSE,118,855,,,"0/12/14","15/15/15",,,19,50,,,499,1210,,,"Quick Attack, Swift, Body Slam","Quick Attack, Swift, Dig",,,"133;134;135;136;196;197;470;471;700","133;134;135;136;196;197;470;471;700","133"
"134","Vaporeon","Eevee",FALSE,,236,240,143,,"1/15/15","0/15/13","15/15/15",,18,30.5,50,,1499,2500,3521,,"Water Gun, Aqua Tail, Last Resort","Water Gun, Aqua Tail, Liquidation","Water Gun, Aqua Tail, Last Resort[etm]","133;134","134","133;134"
"135","Jolteon","Eevee",FALSE,690,632,567,411,"7/15/13","0/12/15","0/15/15","15/15/15",6.5,19.5,34.5,50,500,1495,2498,3265,"Volt Switch, Discharge, Last Resort","Thunder Shock, Discharge, Last Resort","Volt Switch, Discharge, Last Resort","Volt Switch, Discharge, Last Resort[etm]","133;135","135","133;135"
"136","Flareon","Eevee",FALSE,,618,416,292,,"0/15/13","1/15/15","15/15/15",,18.5,31,50,,1488,2495,3424,,"Fire Spin, Superpower, Flamethrower","Fire Spin, Superpower, Flamethrower","Fire Spin, Superpower[etm], Flamethrower","133;136","136","133;136"
"137","Porygon","Porygon",FALSE,556,611,,,"3/15/14","0/13/15",,,11,37.5,,,499,1500,,,"Quick Attack, Discharge, Signal Beam","Quick Attack, Discharge, Hyper Beam",,,"137;233;474","137;233;474","137"
"137","Porygon (Shadow)","Porygon",TRUE,540,901,,,"3/15/14","0/13/15",,,11,37.5,,,499,1500,,,"Tackle, Discharge, Signal Beam","Tackle, Discharge, Signal Beam",,,"137;233;474","137;233;474","137"
"138","Omanyte","Omanyte",FALSE,,863,,,,"0/13/15",,,,45.5,,,,1500,,,,"Water Gun, Rock Blast, Ancient Power",,,"138;139","138;139","138"
"138","Omanyte (Shadow)","Omanyte",TRUE,,829,,,,"0/13/15",,,,45.5,,,,1500,,,,"Mud Shot, Rock Blast, Ancient Power",,,"138;139","138;139","138"
"139","Omastar","Omanyte",FALSE,,856,600,488,,"0/9/15","0/14/15","15/15/15",,20.5,37.5,50,,1493,2497,3150,,"Mud Shot, Rock Slide, Hydro Pump","Mud Shot, Rock Slide, Rock Blast","Mud Shot, Rock Slide[etm], Rock Blast","138;139","139","138;139"
"139","Omastar (Shadow)","Omanyte",TRUE,,883,539,444,,"0/9/15","0/14/15","15/15/15",,20.5,37.5,50,,1493,2497,3150,,"Mud Shot, Rock Slide, Hydro Pump","Mud Shot, Rock Slide, Rock Blast","Mud Shot, Rock Slide[etm], Rock Blast","138;139","139","138;139"
"14","Kakuna","Weedle",FALSE,307,,,,"15/15/15",,,,50,,,,488,,,,"Poison Sting, Return, Struggle",,,,"13;14;15","14;15","13;14"
"14","Kakuna (Shadow)","Weedle",TRUE,364,,,,"15/15/15",,,,50,,,,488,,,,"Bug Bite, Struggle, Frustration",,,,"13;14;15","14;15","13;14"
"140","Kabuto","Kabuto",FALSE,,948,,,,"10/15/15",,,,49.5,,,,1498,,,,"Mud Shot, Ancient Power, Aqua Jet",,,"140;141","140;141","140"
"141","Kabutops","Kabuto",FALSE,,807,568,451,,"0/14/10","0/14/15","15/15/15",,21,39,50,,1493,2500,3067,,"Fury Cutter, Stone Edge, Ancient Power","Fury Cutter, Stone Edge, Ancient Power","Fury Cutter[etm], Stone Edge, Ancient Power","140;141","141","140;141"
"142","Aerodactyl","Aerodactyl",FALSE,63,735,614,478,"0/15/8","1/15/15","0/13/15","15/15/15",7,20,37.5,50,500,1500,2496,3147,"Rock Throw, Rock Slide, Earth Power","Rock Throw, Rock Slide, Earth Power","Rock Throw, Rock Slide, Earth Power","Rock Throw, Rock Slide, Earth Power","142","142","142"
"142","Aerodactyl (Shadow)","Aerodactyl",TRUE,,640,597,460,,"1/15/15","0/13/15","15/15/15",,20,37.5,50,,1500,2496,3147,,"Rock Throw, Rock Slide, Earth Power","Rock Throw, Rock Slide, Earth Power","Rock Throw, Rock Slide, Earth Power","142","142","142"
"143","Snorlax","Snorlax",FALSE,318,316,257,131,"3/15/13","1/15/14","0/12/15","15/15/15",6,17.5,29.5,50,500,1498,2491,3647,"Lick, Body Slam, Superpower","Lick, Body Slam, Superpower","Lick, Body Slam, Earthquake","Lick, Body Slam, Superpower","143;446","143;446","446;143"
"143","Snorlax (Shadow)","Snorlax",TRUE,,305,295,106,,"1/15/14","0/12/15","15/15/15",,17.5,29.5,50,,1498,2491,3647,,"Lick, Body Slam, Superpower","Lick, Body Slam, Earthquake","Lick, Body Slam, Superpower","143;446","143;446","446;143"
"144","Articuno","Articuno",FALSE,,297,128,127,,"0/15/15","0/13/15","15/15/15",,18.5,32,50,,1500,2496,3450,,"Ice Shard, Icy Wind, Ancient Power","Ice Shard, Icy Wind, Ancient Power","Ice Shard, Icy Wind, Ancient Power","144","144","144"
"144","Articuno (Shadow)","Articuno",TRUE,,392,378,129,,"0/15/15","0/13/15","15/15/15",,18.5,32,50,,1500,2496,3450,,"Ice Shard, Icy Wind, Ancient Power","Ice Shard, Triple Axel, Ancient Power","Ice Shard, Icy Wind, Ancient Power","144","144","144"
"144&galar","Articuno (Galarian)","Articuno",FALSE,,661,535,213,,"0/15/14","0/15/12","15/15/15",,15.5,26,50,,1498,2494,4059,,"Psycho Cut, Ancient Power, Brave Bird","Psycho Cut, Ancient Power, Brave Bird","Psycho Cut, Ancient Power, Brave Bird","144&galar","144&galar","144&galar"
"145","Zapdos","Zapdos",FALSE,,95,72,55,,"0/12/12","0/13/13","15/15/15",,16,26.5,50,,1495,2498,3987,,"Thunder Shock, Drill Peck, Thunderbolt","Thunder Shock, Drill Peck, Thunderbolt","Thunder Shock[etm], Drill Peck, Thunderbolt","145","145","145"
"145","Zapdos (Shadow)","Zapdos",TRUE,,54,59,49,,"0/12/12","0/13/13","15/15/15",,16,26.5,50,,1498,2494,3987,,"Thunder Shock, Drill Peck, Thunderbolt","Thunder Shock, Drill Peck, Thunderbolt","Thunder Shock[etm], Drill Peck, Thunderbolt","145","145","145"
"145&galar","Zapdos (Galarian)","Zapdos",FALSE,,622,456,132,,"3/15/14","1/15/15","15/15/15",,15.5,26,50,,1495,2492,4012,,"Counter, Ancient Power, Brave Bird","Counter, Ancient Power, Brave Bird","Counter, Ancient Power, Brave Bird","145&galar","145&galar","145&galar"
"146","Moltres","Moltres",FALSE,,558,595,236,,"1/15/14","0/14/12","15/15/15",,16,27,50,,1493,2500,3917,,"Fire Spin, Sky Attack, Ancient Power","Fire Spin, Sky Attack, Overheat","Wing Attack, Sky Attack[etm], Overheat","146","146","146"
"146","Moltres (Shadow)","Moltres",TRUE,,579,439,147,,"1/15/14","0/14/12","15/15/15",,16,27,50,,1499,2493,3917,,"Fire Spin, Sky Attack, Ancient Power","Fire Spin, Sky Attack, Ancient Power","Fire Spin, Ancient Power, Sky Attack[etm]","146","146","146"
"146&galar","Moltres (Galarian)","Moltres",FALSE,,57,18,59,,"0/13/12","1/15/15","15/15/15",,18,29.5,50,,1493,2492,3580,,"Sucker Punch, Ancient Power, Brave Bird","Sucker Punch, Ancient Power, Brave Bird","Sucker Punch, Ancient Power, Payback","146&galar","146&galar","146&galar"
"148","Dragonair","Dratini",FALSE,,117,,,,"1/15/15",,,,34,,,,1497,,,,"Dragon Breath, Aqua Tail, Body Slam",,,"147;148;149","148;149","147;148"
"148","Dragonair (Shadow)","Dratini",TRUE,,113,,,,"1/15/15",,,,34,,,,1497,,,,"Dragon Breath, Body Slam, Aqua Tail",,,"147;148;149","148;149","147;148"
"149","Dragonite","Dratini",FALSE,70,126,142,25,"9/15/15","3/15/14","0/13/15","15/15/15",5,14.5,24.5,50,500,1495,2499,4287,"Dragon Breath, Dragon Claw, Superpower","Dragon Breath, Dragon Claw, Superpower","Dragon Breath, Dragon Claw, Superpower","Dragon Breath, Dragon Claw, Superpower","147;148;149","149","147;148;149"
