"ID","Pokemon","Family","Shadow","Little_Rank","Ultra_Rank","Great_Rank","Master_Rank","Little_IVs","Ultra_IVs","Great_IVs","Master_IVs","Little_Level","Ultra_Level","Great_Level","Master_Level","Little_CP","Ultra_CP","Great_CP","Master_CP","Little_MoveSet","Ultra_MoveSet","Great_MoveSet","Master_MoveSet","Evo_Fam","Evo_Next"
"28","Sandslash (Alolan)","Sandshrew","FALSE",,"20",,,,"0/14/15",,,,"49",,,,"2498",,,,"Powder Snow, Ice Punch, Drill Run",,,"27;28","28"
"28","Sandslash (Alolan) (Shadow)","Sandshrew","TRUE",,"25",,,,"0/14/15",,,,"49",,,,"2498",,,,"Powder Snow, Ice Punch, Drill Run",,,"27;28","28"
"38","Ninetales (Alolan)","Vulpix","FALSE",,"34",,,,"7/15/15",,,,"50",,,,"2499",,,,"Powder Snow, Weather Ball (Ice), Dazzling Gleam",,,"37;38","38"
"38","Ninetales (Alolan) (Shadow)","Vulpix","TRUE",,"46",,,,"7/15/15",,,,"50",,,,"2499",,,,"Powder Snow, Weather Ball (Ice), Dazzling Gleam",,,"37;38","38"
"40","Wigglytuff","Jigglypuff","FALSE",,"187",,,,"15/15/15",,,,"50",,,,"2178",,,,"Charm, Disarming Voice, Icy Wind",,,"39;40;174","40;174"
"42","Golbat","Zubat","FALSE",,"335",,,,"15/15/15",,,,"50",,,,"2234",,,,"Wing Attack, Air Cutter, Shadow Ball",,,"41;42;169","42;169"
"42","Golbat (Shadow)","Zubat","TRUE",,"333",,,,"15/15/15",,,,"50",,,,"2234",,,,"Wing Attack, Air Cutter, Shadow Ball",,,"41;42;169","42;169"
"45","Vileplume","Oddish","FALSE",,"279",,,,"0/15/14",,,,"44",,,,"2497",,,,"Acid, Sludge Bomb, Moonblast",,,"43;44;45","45"
"45","Vileplume (Shadow)","Oddish","TRUE",,"299",,,,"0/15/14",,,,"44",,,,"2497",,,,"Acid, Sludge Bomb, Moonblast",,,"43;44;45","45"
"47","Parasect","Paras","FALSE",,"346",,,,"15/15/14",,,,"50",,,,"2102",,,,"Fury Cutter, X-Scissor, Cross Poison",,,"46;47","47"
"71","Victreebel","Bellsprout","FALSE",,"106",,,,"0/15/12",,,,"48.5",,,,"2492",,,,"Acid, Leaf Blade, Sludge Bomb",,,"69;70;71","71"
"71","Victreebel (Shadow)","Bellsprout","TRUE",,"82",,,,"0/15/12",,,,"48.5",,,,"2492",,,,"Acid, Leaf Blade, Sludge Bomb",,,"69;70;71","71"
"75","Graveler (Alolan)","Geodude","FALSE",,"249",,,,"15/15/15",,,,"50",,,,"2145",,,,"Volt Switch, Stone Edge, Rock Blast",,,"74;75;76","75;76"
"75","Graveler (Alolan) (Shadow)","Geodude","TRUE",,"230",,,,"15/15/15",,,,"50",,,,"2145",,,,"Volt Switch, Stone Edge, Rock Blast",,,"74;75;76","75;76"
"76","Golem (Alolan)","Geodude","FALSE",,"79",,,,"0/15/15",,,,"33.5",,,,"2499",,,,"Volt Switch, Rock Blast, Wild Charge",,,"74;75;76","76"
"76","Golem (Alolan) (Shadow)","Geodude","TRUE",,"78",,,,"0/15/15",,,,"33.5",,,,"2499",,,,"Volt Switch, Wild Charge, Rock Blast",,,"74;75;76","76"
"82","Magneton","Magnemite","FALSE",,"56",,,,"0/15/15",,,,"45.5",,,,"2496",,,,"Volt Switch, Magnet Bomb, Discharge",,,"81;82;462","82;462"
"82","Magneton (Shadow)","Magnemite","TRUE",,"37",,,,"0/15/15",,,,"45.5",,,,"2496",,,,"Volt Switch, Magnet Bomb, Discharge",,,"81;82;462","82;462"
"85","Dodrio","Doduo","FALSE",,"152",,,,"0/15/14",,,,"50",,,,"2499",,,,"Peck, Drill Peck, Brave Bird",,,"84;85","85"
"87","Dewgong","Seel","FALSE",,"159",,,,"15/15/15",,,,"50",,,,"2245",,,,"Ice Shard, Icy Wind, Drill Run",,,"86;87","87"
"91","Cloyster","Shellder","FALSE",,"243",,,,"0/14/14",,,,"45",,,,"2498",,,,"Ice Shard, Icy Wind, Hydro Pump",,,"90;91","91"
"91","Cloyster (Shadow)","Shellder","TRUE",,"264",,,,"0/14/14",,,,"45",,,,"2498",,,,"Ice Shard, Icy Wind, Hydro Pump",,,"90;91","91"
"94","Gengar","Gastly","FALSE",,"153",,,,"0/15/14",,,,"34.5",,,,"2496",,,,"Shadow Claw, Shadow Punch, Sludge Bomb",,,"92;93;94","94"
"94","Gengar (Shadow)","Gastly","TRUE",,"149",,,,"0/15/14",,,,"34.5",,,,"2496",,,,"Shadow Claw, Shadow Punch, Sludge Bomb",,,"92;93;94","94"
"101","Electrode","Voltorb","FALSE",,"137",,,,"15/15/14",,,,"50",,,,"2373",,,,"Volt Switch, Foul Play, Discharge",,,"100;101","101"
"101","Electrode (Hisuian)","Voltorb","FALSE",,"251",,,,"15/15/14",,,,"50",,,,"2430",,,,"Thunder Shock, Wild Charge, Swift",,,"100;101","101"
"101","Electrode (Shadow)","Voltorb","TRUE",,"147",,,,"15/15/14",,,,"50",,,,"2373",,,,"Volt Switch, Foul Play, Discharge",,,"100;101","101"
"103","Exeggutor","Exeggcute","FALSE",,"331",,,,"1/15/15",,,,"31.5",,,,"2500",,,,"Confusion, Seed Bomb, Psychic",,,"102;103","103"
"103","Exeggutor (Alolan)","Exeggcute","FALSE",,"273",,,,"1/15/15",,,,"31.5",,,,"2499",,,,"Dragon Tail, Seed Bomb, Draco Meteor",,,"102;103","103"
"103","Exeggutor (Alolan) (Shadow)","Exeggcute","TRUE",,"268",,,,"1/15/15",,,,"31.5",,,,"2499",,,,"Dragon Tail, Seed Bomb, Draco Meteor",,,"102;103","103"
"103","Exeggutor (Shadow)","Exeggcute","TRUE",,"322",,,,"1/15/15",,,,"31.5",,,,"2500",,,,"Confusion, Seed Bomb, Psychic",,,"102;103","103"
"105","Marowak (Alolan)","Cubone","FALSE",,"207",,,,"15/15/14",,,,"50",,,,"2075",,,,"Hex, Bone Club, Flame Wheel",,,"104;105","105"
"105","Marowak (Alolan) (Shadow)","Cubone","TRUE",,"210",,,,"15/15/14",,,,"50",,,,"2075",,,,"Hex, Bone Club, Flame Wheel",,,"104;105","105"
"113","Chansey","Chansey","FALSE",,"386",,,,"15/15/15",,,,"50",,,,"1418",,,,"Zen Headbutt, Dazzling Gleam, Hyper Beam",,,"113;242;440","113;242;440"
"114","Tangela","Tangela","FALSE",,"327",,,,"12/15/15",,,,"50",,,,"2497",,,,"Vine Whip, Grass Knot, Sludge Bomb",,,"114;465","114;465"
"114","Tangela (Shadow)","Tangela","TRUE",,"338",,,,"12/15/15",,,,"50",,,,"2497",,,,"Vine Whip, Grass Knot, Sludge Bomb",,,"114;465","114;465"
"115","Kangaskhan","Kangaskhan","FALSE",,"131",,,,"0/15/13",,,,"44",,,,"2498",,,,"Mud Slap, Power-Up Punch, Outrage",,,"115","115"
"122","Mr. Mime (Galarian)","Mr-mime","FALSE",,"313",,,,"15/15/15",,,,"50",,,,"2338",,,,"Confusion, Ice Punch, Triple Axel",,,"122;439;866","122;439;866"
"123","Scyther","Scyther","FALSE",,"263",,,,"0/13/15",,,,"39.5",,,,"2498",,,,"Fury Cutter, Night Slash, X-Scissor",,,"123;212","123;212"
"123","Scyther (Shadow)","Scyther","TRUE",,"213",,,,"0/13/15",,,,"39.5",,,,"2498",,,,"Fury Cutter, Night Slash, X-Scissor",,,"123;212","123;212"
"124","Jynx","Jynx","FALSE",,"238",,,,"1/15/15",,,,"43",,,,"2499",,,,"Confusion, Avalanche, Psyshock",,,"124;238","124;238"
"125","Electabuzz","Electabuzz","FALSE",,"167",,,,"5/15/15",,,,"49.5",,,,"2490",,,,"Thunder Shock, Thunder Punch, Return",,,"125;239;466","125;239;466"
"125","Electabuzz (Shadow)","Electabuzz","TRUE",,"168",,,,"5/15/15",,,,"49.5",,,,"2494",,,,"Thunder Shock, Thunder Punch, Thunderbolt",,,"125;239;466","125;239;466"
"128","Tauros","Tauros","FALSE",,"265",,,,"0/15/14",,,,"42",,,,"2494",,,,"Tackle, Trailblaze, Horn Attack",,,"128","128"
"130","Gyarados","Magikarp","FALSE",,"74",,,,"0/15/14",,,,"27.5",,,,"2500",,,,"Dragon Breath, Aqua Tail, Crunch",,,"129;130","130"
"130","Gyarados (Shadow)","Magikarp","TRUE",,"70",,,,"0/15/14",,,,"27.5",,,,"2500",,,,"Dragon Breath, Aqua Tail, Crunch",,,"129;130","130"
"131","Lapras","Lapras","FALSE",,"1",,,,"0/15/15",,,,"42.5",,,,"2495",,,,"Psywave, Sparkling Aria, Ice Beam",,,"131","131"
"131","Lapras (Shadow)","Lapras","TRUE",,"5",,,,"0/15/15",,,,"42.5",,,,"2495",,,,"Psywave, Sparkling Aria, Ice Beam",,,"131","131"
"135","Jolteon","Eevee","FALSE",,"212",,,,"0/15/15",,,,"34.5",,,,"2496",,,,"Volt Switch, Discharge, Last Resort",,,"133;135","135"
"142","Aerodactyl","Aerodactyl","FALSE",,"170",,,,"0/13/15",,,,"37.5",,,,"2495",,,,"Dragon Breath, Rock Slide, Earth Power",,,"142","142"
"142","Aerodactyl (Shadow)","Aerodactyl","TRUE",,"211",,,,"0/13/15",,,,"37.5",,,,"2495",,,,"Dragon Breath, Rock Slide, Earth Power",,,"142","142"
"143","Snorlax","Snorlax","FALSE",,"136",,,,"0/12/15",,,,"29.5",,,,"2495",,,,"Lick, Body Slam, Earthquake",,,"143;446","143;446"
"143","Snorlax (Shadow)","Snorlax","TRUE",,"129",,,,"0/12/15",,,,"29.5",,,,"2495",,,,"Lick, Body Slam, Earthquake",,,"143;446","143;446"
"144","Articuno","Articuno","FALSE",,"215",,,,"1/15/15",,,,"31.5",,,,"2495",,,,"Ice Shard, Icy Wind, Ancient Power",,,"144","144"
"144","Articuno (Galarian)","Articuno","FALSE",,"306",,,,"0/15/12",,,,"26",,,,"2487",,,,"Psycho Cut, Fly, Brave Bird",,,"144","144"
"144","Articuno (Shadow)","Articuno","TRUE",,"257",,,,"0/13/15",,,,"32",,,,"2488",,,,"Ice Shard, Triple Axel, Ancient Power",,,"144","144"
"145","Zapdos","Zapdos","FALSE",,"162",,,,"1/12/13",,,,"26.5",,,,"2496",,,,"Thunder Shock, Drill Peck, Thunderbolt",,,"145","145"
"145","Zapdos (Galarian)","Zapdos","FALSE",,"246",,,,"1/15/15",,,,"26",,,,"2490",,,,"Counter, Fly, Brave Bird",,,"145","145"
"145","Zapdos (Shadow)","Zapdos","TRUE",,"133",,,,"0/13/13",,,,"26.5",,,,"2480",,,,"Thunder Shock, Drill Peck, Thunderbolt",,,"145","145"
"146","Moltres","Moltres","FALSE",,"245",,,,"1/10/15",,,,"27",,,,"2498",,,,"Fire Spin, Sky Attack, Overheat",,,"146","146"
"146","Moltres (Galarian)","Moltres","FALSE",,"48",,,,"1/15/15",,,,"29.5",,,,"2490",,,,"Sucker Punch, Fly, Brave Bird",,,"146","146"
"146","Moltres (Shadow)","Moltres","TRUE",,"217",,,,"0/14/12",,,,"27",,,,"2475",,,,"Fire Spin, Sky Attack, Ancient Power",,,"146","146"
"149","Dragonite","Dratini","FALSE",,"123",,,,"0/13/15",,,,"24.5",,,,"2495",,,,"Dragon Breath, Thunder Punch, Superpower",,,"147;148;149","149"
"149","Dragonite (Shadow)","Dratini","TRUE",,"111",,,,"0/13/15",,,,"24.5",,,,"2495",,,,"Dragon Breath, Thunder Punch, Superpower",,,"147;148;149","149"
"154","Meganium","Chikorita","FALSE",,"140",,,,"0/14/15",,,,"50",,,,"2497",,,,"Vine Whip, Frenzy Plant, Earthquake",,,"152;153;154","154"
"154","Meganium (Shadow)","Chikorita","TRUE",,"142",,,,"0/14/15",,,,"50",,,,"2497",,,,"Vine Whip, Frenzy Plant, Earthquake",,,"152;153;154","154"
"157","Typhlosion (Hisuian)","Cyndaquil","FALSE",,"155",,,,"1/15/14",,,,"32",,,,"2495",,,,"Ember, Fire Punch, Wild Charge",,,"155;156;157","157"
"162","Furret","Sentret","FALSE",,"252",,,,"15/15/14",,,,"50",,,,"1987",,,,"Sucker Punch, Swift, Brick Break",,,"161;162","162"
"164","Noctowl","Hoothoot","FALSE",,"309",,,,"15/15/15",,,,"50",,,,"2288",,,,"Wing Attack, Shadow Ball, Sky Attack",,,"163;164","164"
"169","Crobat","Zubat","FALSE",,"287",,,,"0/15/14",,,,"41.5",,,,"2497",,,,"Air Slash, Poison Fang, Shadow Ball",,,"41;42;169","169"
"169","Crobat (Shadow)","Zubat","TRUE",,"288",,,,"0/15/14",,,,"41.5",,,,"2497",,,,"Air Slash, Poison Fang, Shadow Ball",,,"41;42;169","169"
"171","Lanturn","Chinchou","FALSE",,"139",,,,"15/15/15",,,,"50",,,,"2357",,,,"Spark, Surf, Thunderbolt",,,"170;171","171"
"176","Togetic","Togepi","FALSE",,"349",,,,"15/15/15",,,,"50",,,,"1931",,,,"Fairy Wind, Psyshock, Dazzling Gleam",,,"175;176;468","176;468"
"178","Xatu","Natu","FALSE",,"271",,,,"15/15/15",,,,"50",,,,"2474",,,,"Peck, Psyshock, Aerial Ace",,,"177;178","178"
"178","Xatu (Shadow)","Natu","TRUE",,"224",,,,"15/15/15",,,,"50",,,,"2474",,,,"Peck, Psyshock, Aerial Ace",,,"177;178","178"
"181","Ampharos","Mareep","FALSE",,"52",,,,"0/13/15",,,,"36",,,,"2499",,,,"Volt Switch, Brutal Swing, Power Gem",,,"179;180;181","181"
"181","Ampharos (Shadow)","Mareep","TRUE",,"40",,,,"0/13/15",,,,"36",,,,"2499",,,,"Volt Switch, Brutal Swing, Power Gem",,,"179;180;181","181"
"182","Bellossom","Bellossom","FALSE",,"84",,,,"9/15/15",,,,"50",,,,"2499",,,,"Acid, Leaf Blade, Dazzling Gleam",,,"43;44;182","182"
"182","Bellossom (Shadow)","Bellossom","TRUE",,"122",,,,"9/15/15",,,,"50",,,,"2499",,,,"Acid, Leaf Blade, Dazzling Gleam",,,"43;44;182","182"
"189","Jumpluff","Hoppip","FALSE",,"371",,,,"15/15/15",,,,"50",,,,"1850",,,,"Fairy Wind, Acrobatics, Aerial Ace",,,"187;188;189","189"
"189","Jumpluff (Shadow)","Hoppip","TRUE",,"369",,,,"15/15/15",,,,"50",,,,"1850",,,,"Fairy Wind, Acrobatics, Aerial Ace",,,"187;188;189","189"
"192","Sunflora","Sunkern","FALSE",,"361",,,,"15/15/15",,,,"50",,,,"2421",,,,"Bullet Seed, Sludge Bomb, Leaf Storm",,,"191;192","192"
"200","Misdreavus","Misdreavus","FALSE",,"336",,,,"15/15/14",,,,"50",,,,"2178",,,,"Psywave, Shadow Sneak, Dark Pulse",,,"200;429","200;429"
"200","Misdreavus (Shadow)","Misdreavus","TRUE",,"334",,,,"15/15/14",,,,"50",,,,"2178",,,,"Astonish, Shadow Sneak, Dark Pulse",,,"200;429","200;429"
"203","Girafarig","Girafarig","FALSE",,"165",,,,"15/15/15",,,,"50",,,,"2314",,,,"Confusion, Psychic Fangs, Trailblaze",,,"203;981","203;981"
"203","Girafarig (Shadow)","Girafarig","TRUE",,"141",,,,"15/15/15",,,,"50",,,,"2314",,,,"Confusion, Psychic Fangs, Trailblaze",,,"203;981","203;981"
"206","Dunsparce","Dunsparce","FALSE",,"255",,,,"15/15/15",,,,"50",,,,"1909",,,,"Rollout, Drill Run, Rock Slide",,,"206;982","206;982"
"207","Gligar","Gligar","FALSE",,"323",,,,"15/15/15",,,,"50",,,,"2099",,,,"Fury Cutter, Night Slash, Aerial Ace",,,"207;472","207;472"
"207","Gligar (Shadow)","Gligar","TRUE",,"295",,,,"15/15/15",,,,"50",,,,"2099",,,,"Fury Cutter, Night Slash, Aerial Ace",,,"207;472","207;472"
"215","Sneasel","Sneasel","FALSE",,"307",,,,"15/15/15",,,,"50",,,,"2319",,,,"Ice Shard, Avalanche, Foul Play",,,"215;461","215;461"
"215","Sneasel (Shadow)","Sneasel","TRUE",,"274",,,,"15/15/15",,,,"50",,,,"2319",,,,"Ice Shard, Avalanche, Foul Play",,,"215;461","215;461"
"217","Ursaring","Teddiursa","FALSE",,"108",,,,"0/15/13",,,,"33.5",,,,"2499",,,,"Shadow Claw, Swift, Close Combat",,,"216;217;901","217;901"
"217","Ursaring (Shadow)","Teddiursa","TRUE",,"49",,,,"0/15/13",,,,"33.5",,,,"2499",,,,"Shadow Claw, Swift, Close Combat",,,"216;217;901","217;901"
"221","Piloswine","Swinub","FALSE",,"32",,,,"5/15/12",,,,"50",,,,"2500",,,,"Powder Snow, Icicle Spear, Stone Edge",,,"220;221;473","221;473"
"221","Piloswine (Shadow)","Swinub","TRUE",,"28",,,,"5/15/12",,,,"50",,,,"2500",,,,"Powder Snow, Icicle Spear, Stone Edge",,,"220;221;473","221;473"
"226","Mantine","Mantine","FALSE",,"291",,,,"15/15/15",,,,"50",,,,"2383",,,,"Wing Attack, Aerial Ace, Ice Beam",,,"226;458","226;458"
"227","Skarmory","Skarmory","FALSE",,"244",,,,"15/15/15",,,,"50",,,,"2383",,,,"Air Slash, Brave Bird, Sky Attack",,,"227","227"
"227","Skarmory (Shadow)","Skarmory","TRUE",,"275",,,,"15/15/15",,,,"50",,,,"2383",,,,"Air Slash, Brave Bird, Sky Attack",,,"227","227"
"233","Porygon2","Porygon","FALSE",,"289",,,,"1/15/15",,,,"39",,,,"2497",,,,"Lock On, Tri Attack, Zap Cannon",,,"137;233;474","233;474"
"233","Porygon2 (Shadow)","Porygon","TRUE",,"296",,,,"1/15/15",,,,"39",,,,"2497",,,,"Lock On, Tri Attack, Zap Cannon",,,"137;233;474","233;474"
"234","Stantler","Stantler","FALSE",,"360",,,,"15/15/15",,,,"50",,,,"2447",,,,"Tackle, Wild Charge, Stomp",,,"234;899","234;899"
"234","Stantler (Shadow)","Stantler","TRUE",,"358",,,,"15/15/15",,,,"50",,,,"2447",,,,"Tackle, Wild Charge, Stomp",,,"234;899","234;899"
"241","Miltank","Miltank","FALSE",,"24",,,,"4/15/15",,,,"50",,,,"2495",,,,"Rollout, Body Slam, Thunderbolt",,,"241","241"
"242","Blissey","Chansey","FALSE",,"233",,,,"0/15/14",,,,"41",,,,"2498",,,,"Zen Headbutt, Wild Charge, Dazzling Gleam",,,"113;242;440","242;440"
"243","Raikou","Raikou","FALSE",,"13",,,,"1/15/12",,,,"27",,,,"2488",,,,"Thunder Shock, Wild Charge, Aura Sphere",,,"243","243"
"243","Raikou (Shadow)","Raikou","TRUE",,"19",,,,"1/15/12",,,,"27",,,,"2487",,,,"Thunder Shock, Wild Charge, Aura Sphere",,,"243","243"
"249","Lugia","Lugia","FALSE",,"190",,,,"1/13/13",,,,"25.5",,,,"2495",,,,"Dragon Tail, Aeroblast, Fly",,,"249","249"
"249","Lugia (Shadow)","Lugia","TRUE",,"261",,,,"0/14/15",,,,"25.5",,,,"2489",,,,"Dragon Tail, Fly, Future Sight",,,"249","249"
"250","Ho-Oh","Ho-oh","FALSE",,"112",,,,"1/15/14",,,,"24",,,,"2481",,,,"Incinerate, Brave Bird, Sacred Fire",,,"250","250"
"250","Ho-Oh (Shadow)","Ho-oh","TRUE",,"163",,,,"1/15/14",,,,"24",,,,"2491",,,,"Incinerate, Brave Bird, Sacred Fire",,,"250","250"
"251","Celebi","Celebi","FALSE",,"172",,,,"10/13/15",,,,"27.5",,,,"2493",,,,"Confusion, Seed Bomb, Aura Sphere",,,"251","251"
"254","Sceptile","Treecko","FALSE",,"199",,,,"0/15/13",,,,"38",,,,"2496",,,,"Fury Cutter, Leaf Blade, Breaking Swipe",,,"252;253;254","254"
"254","Sceptile (Shadow)","Treecko","TRUE",,"158",,,,"0/15/13",,,,"38",,,,"2496",,,,"Fury Cutter, Leaf Blade, Breaking Swipe",,,"252;253;254","254"
"272","Ludicolo","Lotad","FALSE",,"33",,,,"6/14/15",,,,"50",,,,"2496",,,,"Astonish, Weather Ball (Water), Leaf Storm",,,"270;271;272","272"
"275","Shiftry","Seedot","FALSE",,"174",,,,"3/15/15",,,,"50",,,,"2497",,,,"Snarl, Leaf Blade, Foul Play",,,"273;274;275","275"
"275","Shiftry (Shadow)","Seedot","TRUE",,"188",,,,"3/15/15",,,,"50",,,,"2497",,,,"Snarl, Leaf Blade, Foul Play",,,"273;274;275","275"
"279","Pelipper","Wingull","FALSE",,"234",,,,"15/15/14",,,,"50",,,,"2404",,,,"Wing Attack, Weather Ball (Water), Hurricane",,,"278;279","279"
"284","Masquerain","Surskit","FALSE",,"352",,,,"9/15/15",,,,"50",,,,"2492",,,,"Infestation, Air Cutter, Lunge",,,"283;284","284"
"286","Breloom","Shroomish","FALSE",,"222",,,,"0/14/15",,,,"41",,,,"2499",,,,"Force Palm, Dynamic Punch, Grass Knot",,,"285;286","286"
"288","Vigoroth","Slakoth","FALSE",,"206",,,,"15/15/15",,,,"50",,,,"2225",,,,"Counter, Body Slam, Rock Slide",,,"287;288;289","288;289"
"288","Vigoroth (Shadow)","Slakoth","TRUE",,"214",,,,"15/15/15",,,,"50",,,,"2225",,,,"Counter, Body Slam, Rock Slide",,,"287;288;289","288;289"
"289","Slaking","Slakoth","FALSE",,"389",,,,"0/11/15",,,,"21",,,,"2499",,,,"Yawn, Body Slam, Earthquake",,,"287;288;289","289"
"289","Slaking (Shadow)","Slakoth","TRUE",,"390",,,,"0/11/15",,,,"21",,,,"2499",,,,"Yawn, Body Slam, Earthquake",,,"287;288;289","289"
"295","Exploud","Whismur","FALSE",,"208",,,,"5/15/14",,,,"49.5",,,,"2497",,,,"Astonish, Crunch, Disarming Voice",,,"293;294;295","295"
"295","Exploud (Shadow)","Whismur","TRUE",,"216",,,,"5/15/14",,,,"49.5",,,,"2497",,,,"Astonish, Crunch, Disarming Voice",,,"293;294;295","295"
"310","Manectric","Electrike","FALSE",,"196",,,,"4/15/15",,,,"49",,,,"2500",,,,"Snarl, Wild Charge, Psychic Fangs",,,"309;310","310"
"310","Manectric (Shadow)","Electrike","TRUE",,"256",,,,"4/15/15",,,,"49",,,,"2500",,,,"Snarl, Wild Charge, Psychic Fangs",,,"309;310","310"
"332","Cacturne","Cacnea","FALSE",,"154",,,,"6/15/15",,,,"50",,,,"2499",,,,"Sucker Punch, Dynamic Punch, Trailblaze",,,"331;332","332"
"332","Cacturne (Shadow)","Cacnea","TRUE",,"119",,,,"6/15/15",,,,"50",,,,"2499",,,,"Sucker Punch, Dynamic Punch, Trailblaze",,,"331;332","332"
"334","Altaria","Swablu","FALSE",,"221",,,,"15/15/15",,,,"50",,,,"2266",,,,"Dragon Breath, Sky Attack, Flamethrower",,,"333;334","334"
"334","Altaria (Shadow)","Swablu","TRUE",,"218",,,,"15/15/15",,,,"50",,,,"2266",,,,"Dragon Breath, Sky Attack, Flamethrower",,,"333;334","334"
"335","Zangoose","Zangoose","FALSE",,"110",,,,"0/15/15",,,,"48",,,,"2493",,,,"Fury Cutter, Close Combat, Night Slash",,,"335","335"
"346","Cradily","Lileep","FALSE",,"22",,,,"15/15/15",,,,"50",,,,"2499",,,,"Acid, Rock Tomb, Grass Knot",,,"345;346","346"
"346","Cradily (Shadow)","Lileep","TRUE",,"43",,,,"15/15/15",,,,"50",,,,"2499",,,,"Acid, Rock Tomb, Grass Knot",,,"345;346","346"
"352","Kecleon","Kecleon","FALSE",,"176",,,,"15/15/14",,,,"50",,,,"2314",,,,"Sucker Punch, Foul Play, Ice Beam",,,"352","352"
"354","Banette","Shuppet","FALSE",,"254",,,,"6/15/15",,,,"50",,,,"2494",,,,"Shadow Claw, Shadow Ball, Dazzling Gleam",,,"353;354","354"
"354","Banette (Shadow)","Shuppet","TRUE",,"277",,,,"6/15/15",,,,"50",,,,"2500",,,,"Shadow Claw, Shadow Ball, Dazzling Gleam",,,"353;354","354"
"357","Tropius","Tropius","FALSE",,"339",,,,"15/15/14",,,,"50",,,,"2194",,,,"Air Slash, Leaf Blade, Brutal Swing",,,"357","357"
"362","Glalie","Snorunt","FALSE",,"67",,,,"15/15/15",,,,"50",,,,"2380",,,,"Powder Snow, Avalanche, Shadow Ball",,,"361;362","362"
"362","Glalie (Shadow)","Snorunt","TRUE",,"77",,,,"15/15/15",,,,"50",,,,"2380",,,,"Powder Snow, Avalanche, Shadow Ball",,,"361;362","362"
"364","Sealeo","Spheal","FALSE",,"329",,,,"15/15/15",,,,"50",,,,"1938",,,,"Powder Snow, Surf, Body Slam",,,"363;364;365","364;365"
"364","Sealeo (Shadow)","Spheal","TRUE",,"302",,,,"15/15/15",,,,"50",,,,"1938",,,,"Powder Snow, Surf, Body Slam",,,"363;364;365","364;365"
"365","Walrein","Spheal","FALSE",,"21",,,,"0/15/15",,,,"39.5",,,,"2500",,,,"Powder Snow, Icicle Spear, Earthquake",,,"363;364;365","365"
"365","Walrein (Shadow)","Spheal","TRUE",,"31",,,,"0/15/15",,,,"39.5",,,,"2500",,,,"Powder Snow, Icicle Spear, Earthquake",,,"363;364;365","365"
"373","Salamence","Bagon","FALSE",,"198",,,,"1/15/14",,,,"24.5",,,,"2500",,,,"Dragon Tail, Fly, Brutal Swing",,,"371;372;373","373"
"373","Salamence (Shadow)","Bagon","TRUE",,"173",,,,"1/15/14",,,,"24.5",,,,"2500",,,,"Dragon Tail, Fly, Brutal Swing",,,"371;372;373","373"
"378","Regice","Regice","FALSE",,"62",,,,"1/14/15",,,,"30.5",,,,"2488",,,,"Lock On, Thunder, Blizzard",,,"378","378"
"378","Regice (Shadow)","Regice","TRUE",,"135",,,,"0/12/15",,,,"31",,,,"2483",,,,"Lock On, Thunder, Blizzard",,,"378","378"
